Date,Open,High,Low,Close,Volume
25/05/2021 15:30:00,384.5,385.6,381.05,381.55,1427832
26/05/2021 15:30:00,382.7,386.45,380.55,383.05,2349815
27/05/2021 15:30:00,383.5,384.85,380,381.9,3269387
28/05/2021 15:30:00,383,386.2,380.1,382.15,2268969
31/05/2021 15:30:00,384,389.6,382.2,388.2,3454331
01/06/2021 15:30:00,390.7,391.45,385,385.85,1748372
02/06/2021 15:30:00,386,389.2,384.5,388.1,2300520
03/06/2021 15:30:00,387.5,387.85,382.85,385.1,2896950
04/06/2021 15:30:00,385.2,387.8,383.85,384.9,1481960
07/06/2021 15:30:00,384.5,392,383.25,389.05,3314421
08/06/2021 15:30:00,390.6,403.25,390,402.45,6809356
09/06/2021 15:30:00,407.05,415.65,400.65,404.5,9635843
10/06/2021 15:30:00,406,415.5,405.85,414.75,4364390
11/06/2021 15:30:00,417.85,420.25,413,415,3376513
14/06/2021 15:30:00,415,415,405.05,412.05,1526684
15/06/2021 15:30:00,412,415.65,409.6,410.5,1344636
16/06/2021 15:30:00,410,411.2,402.5,403.25,1728594
17/06/2021 15:30:00,402,406.75,396.05,398.65,1390138
18/06/2021 15:30:00,399.5,401.9,389.05,398.95,4009623
21/06/2021 15:30:00,395.5,406.2,393.2,405.75,1549277
22/06/2021 15:30:00,407.9,409.6,400.3,401.35,2011236
23/06/2021 15:30:00,402.9,404.95,396.6,397.55,1824603
24/06/2021 15:30:00,398.2,400.9,394,395.2,1888424
25/06/2021 15:30:00,396,399.95,394.4,396.95,642550
28/06/2021 15:30:00,398.35,409.7,397.55,404.15,3019858
29/06/2021 15:30:00,406.9,411,402,407.55,2239813
30/06/2021 15:30:00,408.75,411,403.55,404.45,1217199
01/07/2021 15:30:00,404.5,409.9,403.5,406.15,1608707
02/07/2021 15:30:00,406.2,410.9,405.7,408.05,1266537
05/07/2021 15:30:00,408.1,409.6,402.5,403.4,1225126
06/07/2021 15:30:00,402,402.65,388,388.85,4329007
07/07/2021 15:30:00,386.9,394.1,385,392.1,2686889
08/07/2021 15:30:00,393,393.5,387,389.35,972707
09/07/2021 15:30:00,390,390.95,386.85,388.55,1497908
12/07/2021 15:30:00,390.7,390.7,386,387.35,1345110
13/07/2021 15:30:00,389,389,386,387.8,1211746
14/07/2021 15:30:00,387.05,400.15,386.15,399.35,3947672
15/07/2021 15:30:00,400.35,404,395.2,403.25,2772769
16/07/2021 15:30:00,404.95,413.3,403,409.3,4905898
19/07/2021 15:30:00,408.9,414.4,405.1,411.4,2649721
20/07/2021 15:30:00,412.5,414,402.5,404.25,1845582
22/07/2021 15:30:00,407.25,407.9,396.3,403,2808364
23/07/2021 15:30:00,392,401.55,387.3,398.15,5803946
26/07/2021 15:30:00,398.15,398.15,388.8,389.5,2134036
27/07/2021 15:30:00,394.95,394.95,378,379.55,4496288
28/07/2021 15:30:00,382.75,383.8,376.7,381.7,1969181
29/07/2021 15:30:00,397,404.9,380.05,382.55,7709849
30/07/2021 15:30:00,383.45,389.25,381.1,386.35,2792729
02/08/2021 15:30:00,387.3,391.8,386.45,390,2419224
03/08/2021 15:30:00,388.8,392.45,388,389.3,1072037
04/08/2021 15:30:00,388.5,391.4,383.6,385.6,1116220
05/08/2021 15:30:00,386.35,387,381.7,384.15,1233269
06/08/2021 15:30:00,384.2,386.9,382.85,383.6,945840
09/08/2021 15:30:00,383.9,385.45,380.05,382.25,730646
10/08/2021 15:30:00,383,384.45,376,379,780964
11/08/2021 15:30:00,379.95,379.95,366.05,372.65,2382866
12/08/2021 15:30:00,373,375.7,371.15,374.4,876559
13/08/2021 15:30:00,375,377,369.35,371.4,1487839
16/08/2021 15:30:00,371.75,373.25,366.2,366.95,1228973
17/08/2021 15:30:00,366.05,371,362.65,366.6,1875933
18/08/2021 15:30:00,368.9,373.7,367.05,370,1733630
20/08/2021 15:30:00,367.7,370.8,353.9,357.35,1544686
23/08/2021 15:30:00,359.3,362.35,327.55,333.2,7250084
24/08/2021 15:30:00,336,351.95,332,349.5,6358215
25/08/2021 15:30:00,350,350,343.85,347.15,1712055
26/08/2021 15:30:00,347.65,349.5,340,341,1697599
27/08/2021 15:30:00,341,348.05,339.55,346.7,1401316
30/08/2021 15:30:00,349,358,347.55,356.6,2905130
31/08/2021 15:30:00,357,360.1,352,358.85,2105520
01/09/2021 15:30:00,360,360,352.85,354.7,2210493
02/09/2021 15:30:00,356.8,359.65,354.8,358.65,1467915
03/09/2021 15:30:00,361.7,365.7,357.5,363.5,2170998
06/09/2021 15:30:00,363.8,366.25,360.05,361.5,1068045
07/09/2021 15:30:00,361.5,362.85,354.6,356.75,899814
08/09/2021 15:30:00,362,362.1,353.8,355.45,1639254
09/09/2021 15:30:00,354,357.7,350.1,352.75,1096752
13/09/2021 15:30:00,354,355,350.05,353.6,1302790
14/09/2021 15:30:00,355,356.4,353,355.7,1174007
15/09/2021 15:30:00,356.7,360,355,357.5,1208117
16/09/2021 15:30:00,357.5,379,355.85,376.75,5530580
17/09/2021 15:30:00,390,394.15,370.15,377.4,18497586
20/09/2021 15:30:00,376,376,359,360.4,3169722
21/09/2021 15:30:00,364,369.15,356,367.25,2727117
22/09/2021 15:30:00,365.2,368.5,363.25,367.55,2107108
23/09/2021 15:30:00,369,371.8,366.55,368.2,1257724
24/09/2021 15:30:00,368.5,369.85,358,360.15,1493295
27/09/2021 15:30:00,355,361.85,352.65,358.15,4098510
28/09/2021 15:30:00,359.9,366.5,357.05,361.95,2068898
29/09/2021 15:30:00,361.85,366.6,359.1,362.6,1385922
30/09/2021 15:30:00,363.5,369.05,361.15,362.7,2147714
01/10/2021 15:30:00,362,367.6,358.25,365.3,1551246
04/10/2021 15:30:00,367,370.6,364.25,364.9,1734169
05/10/2021 15:30:00,365.6,367.45,361.5,362,1114071
06/10/2021 15:30:00,362,364.2,355.85,356.4,1197301
07/10/2021 15:30:00,359.5,361.85,357.2,359.75,1040559
08/10/2021 15:30:00,361.75,363.5,358.15,358.75,1179337
11/10/2021 15:30:00,359,362,356.5,360.1,1707523
12/10/2021 15:30:00,360.1,364,357.55,358.3,1703354
13/10/2021 15:30:00,359.95,359.95,351.3,352.25,4417346
14/10/2021 15:30:00,353.75,354.6,347,347.65,2334243
18/10/2021 15:30:00,347.65,349,341.35,342.5,2870530
19/10/2021 15:30:00,342,348.75,339.2,344.4,2739563
20/10/2021 15:30:00,344.45,346.65,340.75,341.75,1610459
21/10/2021 15:30:00,346,349.8,338,344.95,4144347
22/10/2021 15:30:00,342,343,322.5,323.8,7224929
25/10/2021 15:30:00,325.05,326.9,314.8,321.3,3480754
26/10/2021 15:30:00,323,334.7,320.1,333.55,3113691
27/10/2021 15:30:00,334.7,341.45,333,337.7,2813487
28/10/2021 15:30:00,338,340.95,335,337.85,3263752
29/10/2021 15:30:00,337.85,352.5,335.5,351.1,5793111
01/11/2021 15:30:00,351.5,353.95,346.1,348.3,1940664
02/11/2021 15:30:00,348.3,350.95,343.1,345.55,1961079
03/11/2021 15:30:00,345.55,350.95,343.85,348.45,2061255
04/11/2021 19:15:00,350,352,347.2,348.65,265779
08/11/2021 15:30:00,349.5,350.95,343.55,348.75,1043298
09/11/2021 15:30:00,349.4,352.4,345.8,347,1079524
10/11/2021 15:30:00,347,351.15,346.2,347.9,1175287
11/11/2021 15:30:00,347.8,348.65,342.5,346.6,873619
12/11/2021 15:30:00,347.5,349.3,344,346.45,704956
15/11/2021 15:30:00,347.5,362.4,347.1,361.75,7501814
16/11/2021 15:30:00,361.8,370.5,360.3,369.35,6775061
17/11/2021 15:30:00,371.4,377.6,367.6,376.4,6964611
18/11/2021 15:30:00,377.4,377.4,364,366.95,3134730
22/11/2021 15:30:00,366.45,366.9,356.15,357.85,2115434
23/11/2021 15:30:00,356.45,372,351.4,365.8,3195124
24/11/2021 15:30:00,366.55,368.55,358.7,359.8,1154465
25/11/2021 15:30:00,360.15,365,356.3,362.5,1290274
26/11/2021 15:30:00,362,373.6,358.9,362.8,3526533
29/11/2021 15:30:00,362.5,371.95,347.6,364.4,2513989
30/11/2021 15:30:00,364.5,370.95,357.55,360.4,4131254
01/12/2021 15:30:00,362.2,373.9,358.1,370.7,3496010
02/12/2021 15:30:00,374.9,378.6,363,367.5,5011584
03/12/2021 15:30:00,370.95,370.95,365.35,366.85,2610184
06/12/2021 15:30:00,367,369.5,358.5,359.75,1309429
07/12/2021 15:30:00,361.6,364.8,357.55,360.2,1585988
08/12/2021 15:30:00,361,387.9,360.6,382.8,7931372
09/12/2021 15:30:00,383,386,372,372.95,4191269
10/12/2021 15:30:00,372.95,378,370.4,372.2,1732117
13/12/2021 15:30:00,374,380.5,370.7,378.5,2794613
14/12/2021 15:30:00,376.5,383.4,374.2,378.15,2419263
15/12/2021 15:30:00,379.3,381.15,373.5,375.4,1909185
16/12/2021 15:30:00,376.2,377.55,361.65,363.15,2537038
17/12/2021 15:30:00,365.4,367.25,349.4,353.25,2108444
20/12/2021 15:30:00,351,354.05,343.05,350.8,1946996
21/12/2021 15:30:00,352,357.65,349.15,350.75,1339312
22/12/2021 15:30:00,353,365.9,349.85,360.1,3069556
23/12/2021 15:30:00,360.8,376.25,360.05,374.35,6612121
24/12/2021 15:30:00,363,366,352.5,354.45,7151655
27/12/2021 15:30:00,355,357.85,351.5,356.45,2537639
28/12/2021 15:30:00,359,360.4,355.05,355.95,2072197
29/12/2021 15:30:00,355,362.35,353.8,361.65,1961291
30/12/2021 15:30:00,360.5,367.55,359,361.4,3285675
31/12/2021 15:30:00,363.95,367,361.6,364.65,1788993
03/01/2022 15:30:00,364.65,367.5,362.15,362.75,868445
04/01/2022 15:30:00,365,369.6,358.55,364.4,3115452
05/01/2022 15:30:00,366,367.9,361.75,363.35,1049204
06/01/2022 15:30:00,361,364.4,359.45,360.35,967933
07/01/2022 15:30:00,360,362.65,356.7,358.5,1182457
